Predictor A,Predictor B,Predictor C,Predictor D,Predictor E,Predictor F,Predictor G,Response
32.33,B,1.585,0,t,420,Marketing 0,0
34.83,M,12.5,0,f,,0,
38.58,B,13.5,0,t,980,0,0
44.25,E,10.75,0,t,400,0,0
44.83,J,1.625,0,f,160,0,0
20.67,D,0.375,1,t,160,1,0
34.08,C,0.125,0,f,443,0,0
19.17,C,0.585,0,f,160,0,0
21.67,B,2.5,1,t,180,1,0
21.5,A,0.25,0,f,140,0,0
49.58,B,0,1,t,94,1,0
27.67,B,2,0,f,368,0,0
39.83,K,0.25,0,t,288,0,0
,C,3,0,f,300,0,0
27.25,C,0.455,0,t,200,0,0
37.17,G,5,0,t,280,0,0
,F,0.875,0,f,928,0,0
25.67,B,4,0,f,188,0,0
34,C,1,0,t,240,0,0
49,A,0,0,t,100,0,0
62.5,F,5,0,f,112,0,0
31.42,J,0.5,0,f,120,0,0
,I,8.5,0,f,0,0,0
52.33,M,9.46,0,f,200,0,0
28.75,H,1.5,0,f,0,0,0
28.58,N,0.5,0,f,171,0,0
23,B,0.125,0,f,180,0,0
,A,0.835,0,f,320,0,0
22.5,A,3,0,t,268,0,0
28.5,K,1,2,f,167,2,0
37.5,M,0.25,0,t,164,0,0
35.25,M,4,0,f,80,0,0
18.67,C,0.375,2,t,0,2,0
25,G,2.25,2,f,120,2,0
27.83,N,5.75,2,t,75,2,0
54.83,F,0,20,f,152,20,0
28.75,M,0.5,0,f,280,0,0
25,N,4.5,0,f,120,0,0
40.92,D,10,0,f,176,0,0
19.75,A,0.795,5,t,140,5,0
29.17,K,3.5,3,t,329,3,0
24.5,K,0.5,3,t,180,3,0
24.58,B,0.875,0,f,260,0,0
33.75,J,1,3,t,212,3,0
20.67,K,1.375,3,t,140,3,0
25.42,B,1.29,2,f,200,2,0
37.75,N,11.5,7,f,300,7,0
52.5,F,6.29,15,f,0,15,1
57.83,B,14,6,f,360,6,1
20.75,K,0.335,1,f,80,1,1
39.92,J,0.04,1,f,200,1,1
25.67,G,1.21,67,f,140,67,1
24.75,,1.5,12,f,120,12,1
44.17,J,7.375,3,t,0,3,1
23.5,N,8.5,5,t,120,5,1
34.92,J,7.5,6,f,0,6,1
47.67,D,2.5,12,t,410,12,1
22.75,I,2.5,7,t,100,7,1
34.42,C,3.25,2,t,274,2,1
28.42,B,0.835,0,f,280,0,1
67.75,E,13,1,f,0,1,1
20.42,G,2.25,1,t,100,1,1
47.42,D,6.5,6,f,375,6,1
36.25,M,2.5,6,t,0,6,1
32.67,B,5.5,12,t,408,12,1
48.58,B,6,0,t,350,0,1
39.92,K,0.5,3,t,200,3,1
33.58,B,4.25,6,t,204,6,1
18.83,F,1.625,6,f,40,6,1
26.92,K,5,2,f,0,2,1
31.25,H,0.625,9,f,181,9,1
56.5,N,0,15,f,0,15,1
43,A,1.75,8,t,100,8,1
22.33,K,2,1,f,80,1,1
27.25,N,5.085,9,f,399,9,1
32.83,K,2.75,6,f,160,6,1
23.25,K,2.375,3,t,0,3,1
40.33,G,8,14,t,0,14,1
30.5,N,4,7,t,0,7,1
52.83,L,5.5,14,t,0,14,1
46.67,B,0.415,11,t,440,11,1
58.33,B,4,14,t,0,14,1
37.33,B,4.25,12,f,93,12,1
23.08,E,1.085,11,f,60,11,1
32.75,E,5.5,3,t,0,3,1
21.67,N,0,11,t,0,11,1
28.5,,2.54,1,f,70,1,1
68.67,A,0,14,t,0,14,1
28,G,4.165,2,t,181,2,1
34.08,A,0.04,1,t,280,1,1
27.67,M,1,4,f,140,4,1
44,A,1.75,2,f,0,2,1
25.08,B,1.665,1,f,395,1,1
32,F,0.04,0,f,393,0,1
60.58,I,11,0,t,21,0,1
40.83,N,1.75,0,t,29,0,1
19.33,G,1,0,f,60,0,1
32.33,K,0.04,0,t,440,0,1
36.67,J,9,0,f,102,0,1
37.5,M,1.5,0,t,431,0,1
25.08,I,0.25,0,t,370,0,1
41.33,A,15,0,f,0,0,1
56,B,8,0,f,24,0,1
49.83,N,8.5,0,t,0,0,1
22.67,A,1.335,0,f,100,0,1
27,F,0.375,0,f,260,0,1
25,B,3,0,f,20,0,1
26.08,F,1.415,0,f,160,0,1
18.42,A,1.21,4,t,60,4,1
20.17,M,1.96,14,f,60,14,1
47.67,I,15,20,f,0,20,1
21.25,G,0.5,4,t,80,4,1
20.67,N,0.165,3,f,100,3,1
57.08,A,5.5,7,f,0,7,1
22.42,A,2.585,7,t,129,7,1
48.75,I,12.5,9,t,181,9,1
40,M,3.5,1,t,0,1,1
40.58,A,5,7,f,0,7,1
28.67,H,2.5,5,f,300,5,1
33.08,B,1.625,2,t,0,2,1
21.33,,3,0,t,0,0,1
42,F,5.125,0,f,400,0,1
41.75,B,2.5,0,t,510,0,1
22.67,E,3.085,6,t,80,6,1
34.5,B,8.5,7,t,195,7,1
28.25,K,1.5,8,f,144,8,1
33.17,G,3.165,3,f,380,3,1
48.17,B,15.5,12,f,0,12,1
27.58,J,2,3,f,370,3,1
22.58,D,0.04,9,t,60,9,1
24.08,K,1.25,1,f,0,1,1
41.33,,2.25,0,f,0,0,1
24.83,M,2.25,6,t,,6,
20.75,C,0.71,2,t,49,2,1
36.33,K,0.085,1,t,50,1,1
35.42,A,14,8,t,0,8,1
71.58,F,0,0,f,,0,
28.67,B,5.665,6,t,381,6,1
35.17,G,4.5,7,f,150,7,1
39.5,N,6.5,16,t,117,16,1
39.33,K,10,14,f,399,14,1
24.33,C,5.5,0,t,100,0,1
60.08,K,18,15,t,0,15,1
23.08,G,3.5,9,t,56,9,1
26.67,M,5.25,1,f,211,1,1
48.17,K,3.5,0,f,230,0,1
41.17,C,7,8,f,320,8,1
55.92,F,5,5,f,0,5,1
53.92,K,8.665,5,t,0,5,1
18.92,B,1,4,f,80,4,1
50.08,B,2.29,3,f,156,3,1
65.42,M,20,7,f,22,7,1
17.58,C,1.375,0,t,0,0,1
18.83,K,0.085,0,t,100,0,1
37.75,N,0.125,0,t,228,0,1
23.25,E,0.25,0,t,160,0,1
18.08,A,0.5,0,f,80,0,1
22.5,N,2.46,0,t,164,0,1
19.67,B,2,2,f,80,2,1
22.08,A,0.665,0,f,100,0,1
25.17,,0.625,7,f,0,7,1
47.42,I,13.875,2,t,519,2,1
33.5,N,4.5,4,f,253,4,1
27.67,B,5.75,0,t,487,0,1
58.42,D,10,13,t,0,13,1
20.67,N,2.085,5,f,220,5,1
26.17,B,0,0,t,0,0,1
21.33,N,1.415,1,f,80,1,1
42.83,,4.58,0,f,0,0,1
38.17,N,2.5,6,f,520,6,1
20.5,C,2.5,0,t,40,0,1
48.25,E,1.75,3,t,120,3,1
28.33,J,11,0,t,70,0,1
18.75,B,2.71,5,f,,5,
18.5,D,1.5,2,t,120,2,1
33.17,F,2.04,1,f,180,1,1
45,K,14,1,f,88,1,1
19.67,F,0.29,11,f,80,11,1
24.5,C,4.75,2,f,73,2,1
21.83,I,0.29,6,f,121,6,1
40.25,C,20,11,f,0,11,1
41.42,B,5,6,t,470,6,1
17.83,F,1,11,f,0,11,1
23.17,F,0.46,1,t,100,1,1
,F,0.25,0,f,380,0,0
18.17,J,1.085,0,f,320,0,0
20,G,2,0,f,136,0,0
20,D,0.5,0,t,144,0,0
20.75,M,0.04,0,t,200,0,0
24.5,F,0.165,0,f,132,0,0
32.75,C,5.75,0,t,292,0,0
52.17,F,0,0,f,0,0,0
48.17,K,0.335,0,t,0,0,0
20.42,K,0,0,t,154,0,0
50.75,C,0,0,f,145,0,0
17.08,,0.04,0,f,140,0,0
18.33,K,0,0,f,100,0,0
32,B,1.25,0,f,272,0,0
59.67,I,0.125,0,f,260,0,1
18,B,0.21,0,f,200,0,1
37.58,K,0,0,f,,0,
32.33,E,1.25,0,f,280,0,0
18.08,I,0.04,0,f,140,0,0
38.25,I,0.125,0,f,160,0,0
30.67,N,2.25,0,t,340,0,0
18.58,K,0.54,0,t,120,0,0
19.17,G,0.29,0,f,80,0,0
18.17,M,0.165,0,t,340,0,0
24.58,B,0,0,t,,0,
16.25,F,0.085,0,f,200,0,0
21.17,A,0.25,0,f,280,0,0
23.92,K,0.125,0,f,240,0,0
17.67,M,0.25,0,f,80,0,0
16.5,I,0.25,1,f,108,1,0
23.25,,0.125,2,f,0,2,0
17.58,B,0.165,1,f,120,1,0
,M,0,2,f,200,2,0
29.5,,0.29,1,t,340,1,0
18.83,C,0.165,1,t,200,1,0
21.75,N,0,0,t,160,0,0
23,I,0.5,0,f,320,0,0
18.25,A,1,1,t,120,1,0
25.42,K,0.165,1,t,272,1,0
35.75,B,0.125,2,f,220,2,0
16.08,I,0,1,t,160,1,0
31.92,B,3.04,2,f,200,2,0
69.17,B,4,1,t,70,1,0
32.92,B,1.75,2,f,720,2,0
16.33,K,0.665,1,f,80,1,0
22.17,M,3.335,2,t,180,2,0
57.58,G,6.5,1,t,0,1,0
18.25,K,0.25,0,t,280,0,0
23.42,B,0.5,0,t,280,0,0
15.92,K,0.085,0,t,120,0,0
24.75,B,1.5,0,f,280,0,0
48.75,J,0,0,t,0,0,0
23.5,F,4.5,0,f,160,0,0
18.58,J,0.415,0,t,80,0,0
27.75,K,0.25,0,t,140,0,0
31.75,B,0,0,t,160,0,0
24.83,J,1,0,t,360,0,0
19,K,2.335,0,f,112,0,0
16.33,F,0.125,0,t,200,0,0
18.58,K,0.415,0,t,80,0,0
16.25,I,0.25,0,t,60,0,0
23,C,0.5,0,f,320,0,0
21.17,I,0.25,0,f,280,0,0
17.5,K,0,0,t,450,0,1
19.17,G,0,0,f,500,0,1
36.75,B,1.5,0,f,232,0,1
21.25,G,1.5,0,t,150,0,1
18.08,D,10,0,f,300,0,1
33.67,M,0.375,0,t,300,0,1
48.58,I,0.25,11,t,380,11,1
33.67,G,1.165,0,t,120,0,0
29.5,D,1,0,t,280,0,0
30.17,B,0.04,0,t,170,0,0
40.83,B,0.5,0,f,1160,0,0
34.83,B,3,0,f,200,0,0
,B,0.085,0,t,411,0,0
20.42,,0,0,f,,0,
33.25,N,2.5,0,t,0,0,0
34.08,B,1,0,f,460,0,0
25.25,F,1,0,f,180,0,0
34.75,B,0.5,0,f,348,0,0
27.67,M,0.165,0,f,220,0,0
47.33,A,1,0,t,0,0,0
34.83,J,0.5,0,f,160,0,0
33.25,M,2,0,f,180,0,0
28,N,0.75,0,f,300,0,0
39.08,M,3,0,t,480,0,0
42.75,B,0.04,0,t,108,0,0
26.92,I,0.5,0,f,640,0,0
33.75,F,0,0,f,180,0,0
38.92,G,0.5,0,t,300,0,0
62.75,J,0,0,f,0,0,0
32.25,,0.25,0,f,372,0,0
26.75,B,2.5,0,f,200,0,0
63.33,B,0.585,3,t,180,3,0
27.83,K,2.25,1,f,100,1,0
26.17,G,0,0,f,276,0,0
22.17,E,0,0,t,100,0,0
22.5,I,1.5,0,f,0,0,0
30.75,F,0.585,0,f,0,0,0
36.67,C,0.25,0,f,221,0,0
16,M,1,2,f,320,2,0
41.17,J,0.165,0,t,168,0,0
19.5,I,0.04,0,t,380,0,0
32.42,G,0.165,0,t,120,0,0
36.75,K,0,0,t,160,0,0
30.25,K,5.5,0,f,100,0,0
23.08,B,0.085,0,f,100,0,0
26.83,B,0,0,f,100,0,0
16.92,K,0.29,0,f,200,0,0
24.42,J,0.165,2,t,320,2,0
42.83,F,13.875,1,f,352,1,0
22.75,G,0.165,0,f,220,0,0
39.42,B,0.165,0,f,400,0,0
23.58,I,3,0,f,20,0,0
21.42,K,0.75,0,t,132,0,0
33,B,7,0,t,280,0,0
26.33,B,0,0,f,140,0,0
45,M,1,0,t,240,0,0
26.25,A,0.125,0,f,100,0,0
28.17,E,0.04,0,f,260,0,0
20.83,A,1,0,f,260,0,0
28.67,H,0.125,0,t,0,0,0
20.67,G,2,0,f,240,0,0
34.42,A,0.125,0,t,440,0,0
33.58,E,4,0,f,420,0,0
43.17,I,2.25,0,f,141,0,0
22.67,C,0.165,0,t,160,0,0
24.33,M,4.5,0,t,200,0,0
56.83,C,5,0,f,0,0,0
22.08,G,1.585,0,t,100,0,0
34,I,1.5,0,t,60,0,0
22.58,F,0.54,0,f,120,0,0
21.17,B,0.5,0,f,0,0,0
26.67,B,0,0,t,178,0,0
22.92,B,0.085,0,f,0,0,0
15.17,A,1,0,f,600,0,0
39.92,A,0.21,0,t,550,0,0
27.42,A,0.25,0,f,720,0,0
24.75,,1,0,t,120,0,0
41.17,B,0.25,0,f,0,0,0
33.08,,0.54,0,f,0,0,0
29.83,F,0.04,0,t,128,0,0
23.58,B,0.125,0,t,120,0,0
26.17,B,1.25,0,f,0,0,0
31,G,0.085,0,t,300,0,0
20.75,F,0.29,0,f,140,0,0
28.92,G,0.29,0,f,220,0,0
51.92,K,3.085,0,t,73,0,0
22.67,B,0.75,0,f,160,0,0
34,I,1.085,0,f,480,0,0
69.5,F,0,0,f,0,0,0
40.33,M,0.165,2,t,,2,
19.58,G,1,1,t,2000,1,0
16,D,0.085,1,t,0,1,0
17.08,A,0.335,4,f,160,4,0
31.25,K,0,5,f,176,5,0
25.17,A,1.25,1,f,0,1,0
22.67,B,0.085,0,t,144,0,0
40.58,N,0,0,t,300,0,0
22.25,K,0.125,0,f,280,0,0
22.25,B,3.25,0,t,280,0,0
22.5,M,0.125,0,t,200,0,0
23.58,G,0.54,0,f,136,0,0
38.42,C,0.375,2,f,225,2,0
26.58,E,0,0,f,180,0,0
35,B,1,0,f,210,0,0
20.42,K,1.5,0,f,108,0,0
29.42,B,1.75,0,f,200,0,0
26.17,J,1.165,0,t,100,0,0
33.67,M,1.5,0,f,120,0,0
24.58,G,0.25,0,t,110,0,0
27.67,,0.25,0,t,180,0,0
37.5,D,0.04,0,f,120,0,0
49.17,N,0.29,0,f,200,0,0
33.58,M,0.085,0,t,180,0,0
51.83,K,1.5,0,f,180,0,0
22.92,F,0.165,0,f,160,0,0
21.83,B,0.085,0,t,356,0,0
25.25,B,0.5,0,t,200,0,0
58.58,B,2.415,0,t,320,0,0
19,G,0,4,t,45,4,0
19.58,K,0,3,t,350,3,0
53.33,D,0,0,f,62,0,0
27.17,H,0,1,f,92,1,0
25.92,F,0.375,2,f,174,2,0
23.08,F,1,11,t,0,11,0
39.58,E,0,2,f,17,2,0
30.58,B,0.125,0,f,80,0,0
17.25,G,0.04,0,t,160,0,0
17.67,K,0,0,t,86,0,0
,H,0,0,f,,0,
16.5,,0.165,0,t,132,0,0
27.33,A,0,0,t,340,0,0
31.25,C,0,1,t,96,1,0
20,,0.5,0,f,0,0,0
,C,7,0,f,0,0,0
39.5,M,1.5,0,t,0,0,0
36.5,B,3.5,0,f,454,0,0
29.75,K,0.25,0,f,300,0,0
52.42,M,3.75,0,f,0,0,0
36.17,B,0.085,0,f,320,0,0
34.58,G,0,0,f,,0,
29.67,B,0.04,0,f,240,0,0
36.17,M,5,0,f,210,0,0
25.67,A,1.5,0,f,160,0,0
24.5,G,0,0,t,120,0,0
24.08,E,0.085,4,t,254,4,0
21.92,K,0.125,0,f,360,0,0
36.58,I,0,10,t,200,10,0
23,I,0,1,f,200,1,0
27.58,D,2.79,1,f,280,1,0
31.08,B,2.5,2,t,160,2,0
30.42,G,0.04,3,t,0,3,0
22.08,F,0.75,0,f,180,0,0
16.33,M,0.415,0,t,120,0,0
21.92,J,0.085,0,f,320,0,0
21.08,A,0.04,0,f,140,0,0
17.42,A,0.125,0,t,60,0,0
19.17,B,1,0,f,360,0,0
20.67,A,0.125,0,t,0,0,0
26.75,K,0.75,0,f,80,0,0
23.58,M,0.085,0,t,220,0,0
39.17,M,10,0,f,200,0,0
22.75,G,0.415,0,f,0,0,0
26.5,B,0.085,0,t,80,0,0
16.92,J,0.165,6,t,240,6,0
23.5,,0.415,1,f,280,1,0
17.33,K,1.75,10,t,0,10,0
23.75,B,0.04,2,t,128,2,0
34.67,B,1.165,0,f,28,0,0
74.83,H,0.04,2,t,0,2,0
28.17,E,0.085,0,f,216,0,0
24.5,E,0.04,0,t,120,0,0
18.83,B,0,0,f,180,0,0
45.33,J,0.125,0,f,263,0,0
47.25,G,2.75,1,f,333,1,1
24.17,F,4.625,2,f,520,2,1
39.25,B,6.5,14,t,240,14,1
20.5,J,6,0,t,340,0,1
18.83,K,3,0,f,240,0,1
19.17,K,1.5,0,t,120,0,1
25,A,1.04,0,f,160,0,1
20.17,B,1.665,3,t,40,3,1
25.75,C,1.46,5,t,312,5,1
20.42,M,1.625,3,t,200,3,1
,B,5,3,f,290,3,1
39,N,3.5,10,t,0,10,1
64.08,A,0,1,t,232,1,1
28.25,A,4.75,2,f,420,2,1
28.75,G,1.085,1,t,371,1,1
31.33,,7,16,t,0,16,1
18.92,,0.75,2,t,88,2,1
24.75,N,1.835,19,t,0,19,1
30.67,F,2,1,f,220,1,1
21,B,2.25,1,f,80,1,1
13.75,B,1.75,2,f,120,2,1
46,K,0,0,f,100,0,1
44.33,K,2.5,0,f,0,0,1
20.25,H,0,0,f,0,0,1
22.67,K,2.585,0,t,0,0,1
,,6.5,0,f,0,0,1
60.92,M,4,4,f,0,4,1
16.08,G,1.75,5,t,352,5,1
28.17,D,0.585,4,t,80,4,1
39.17,E,0.125,5,f,480,5,1
20.42,E,1.5,1,f,160,1,1
30,I,2.25,5,t,99,5,1
22.83,C,1.29,1,f,260,1,1
22.5,J,1.75,10,t,80,10,0
28.58,M,2.415,0,t,440,0,0
45.17,D,2.5,0,f,140,0,0
41.58,D,0.21,0,t,160,0,0
57.08,J,1,0,t,252,0,0
55.75,B,6.75,3,t,100,3,0
43.25,J,0.21,1,t,760,1,0
25.33,F,2.75,0,t,360,0,0
24.58,J,1.75,0,t,400,0,0
43.17,G,0.75,0,t,560,0,0
40.92,N,0,0,t,130,0,0
31.83,F,7.5,0,t,523,0,0
33.92,J,0,0,t,320,0,0
24.92,I,0,0,f,80,0,0
35.25,,3.75,0,f,680,0,0
34.25,M,0.25,0,t,163,0,0
80.25,M,0.54,0,f,0,0,0
19.42,B,2,0,t,100,0,0
42.75,E,1,0,f,0,0,0
19.67,A,0.835,0,t,140,0,0
36.33,C,1.165,0,f,200,0,0
30.08,G,0.5,10,t,132,10,0
44.25,,1.5,0,t,0,0,0
23.58,M,2.625,6,t,208,6,0
23.92,A,1.875,6,f,200,6,1
33.17,G,0.75,7,t,340,7,1
48.33,B,16,0,f,110,0,1
76.75,A,12.75,1,f,0,1,1
51.33,K,0,11,f,0,11,1
34.75,B,5.375,9,t,0,9,1
38.58,K,4,14,f,383,14,1
22.42,B,0.75,4,f,0,4,1
41.92,M,0.21,6,t,220,6,1
29.58,B,7.5,2,t,330,2,1
32.17,A,1.085,16,f,120,16,1
51.42,,0.04,0,t,0,0,1
22.83,B,2.29,7,f,140,7,1
25,I,3.5,6,t,400,6,1
26.75,B,1.25,0,f,0,0,1
23.33,G,1.415,0,f,422,0,1
24.42,J,1.585,0,f,120,0,1
42.17,D,12.75,0,t,92,0,1
20.83,I,0.04,0,t,100,0,1
23.08,M,2.125,11,t,290,11,1
25.17,B,0.875,0,t,360,0,1
43.08,F,0.375,8,f,300,8,1
35.75,J,0.75,4,t,0,4,1
59.5,M,1.75,5,t,60,5,1
21,,1.085,8,f,160,8,1
21.92,J,0.04,1,f,840,1,1
65.17,I,0,11,f,0,11,1
20.33,C,1,4,t,50,4,1
32.25,N,3.25,1,f,432,1,1
30.17,A,1.75,11,f,32,11,1
25.17,C,1,3,f,0,3,1
39.17,F,1.5,10,f,186,10,1
39.08,I,1.29,5,t,108,5,1
31.67,B,1.335,8,f,303,8,1
41,C,0.04,1,f,560,1,1
48.5,I,0.125,0,t,225,0,1
32.67,C,5.25,0,f,154,0,1
28.08,J,0,0,t,0,0,1
73.42,G,0,0,f,0,0,1
64.08,K,17.5,9,f,0,9,1
51.58,I,8.5,9,f,0,9,1
26.67,C,1,5,t,160,5,1
25.33,I,0.29,7,t,96,7,1
30.17,I,3.125,8,t,330,8,1
27,D,4.25,3,t,312,3,1
23.17,G,0,0,t,,0,
34.17,,0.085,0,f,290,0,1
38.67,K,0.085,0,t,280,0,1
25.75,,0.25,0,f,349,0,1
46.08,N,2.375,8,t,396,8,1
21.5,I,2.5,3,f,80,3,1
20.08,E,1,1,f,240,1,1
20.5,A,2,11,f,200,11,1
29.5,M,0.54,4,f,380,4,1
42.25,A,0,0,t,150,0,0
29.83,I,0.25,0,f,224,0,0
20.08,,0.125,0,t,200,0,0
23.42,F,0.085,0,t,180,0,0
29.58,M,1.25,0,t,280,0,0
16.17,C,0.04,0,t,0,0,1
32.33,B,0.5,0,f,232,0,0
,K,4.25,0,f,460,0,0
47.83,,0.085,0,t,520,0,0
20,K,0.125,0,f,140,0,0
27.58,B,5.085,2,f,369,2,0
22,K,0.29,1,f,420,1,0
19.33,N,0.585,2,f,200,2,0
38.33,B,0.125,0,f,160,0,0
29.42,G,0.25,2,f,400,2,0
22.67,A,1.585,1,f,400,1,0
32.25,A,0,2,f,160,2,0
29.58,B,2,1,t,460,1,0
18.42,G,0.125,0,f,120,0,0
22.17,K,0.125,0,f,160,0,0
22.67,B,2.25,0,f,0,0,1
25.58,E,0,0,f,,0,
18.83,M,0.665,0,f,160,0,0
